CTXS;QCOM;AAPL;IDXX;ALGN;AMGN;CPRT;FAST;CTAS;ORLY;EBAY;BKNG;NFLX;EA;GOOGL;PEP;MNST;COST;XEL;EXC
1/01/2008;26,876881;30,760508;4,136433;28,184999;11,78;37,394043;10,22;7,369075;26,585699;29,43;11,025291;108,519997;3,592857;47,369999;282,432434;46,442665;6,426667;51,043278;12,694746;44,938896
1/02/2008;25,564867;30,738762;3,820458;27,735001;12,35;36,535248;10,415;7,414664;23,313118;26,959999;10,807982;114,019997;4,511428;47,290001;235,825821;47,473175;6,916667;46,520443;12,125776;44,200752
1/03/2008;22,770042;29,826513;4,385183;24,629999;11,11;33,533436;9,69;8,424845;23,442043;28,52;12,234834;120,860001;4,95;49,919998;220,45546;49,274929;5,883333;48,922031;12,205315;48,295254
1/04/2008;25,425121;31,419685;5,315697;26,6;12,28;33,605686;10,2175;8,953117;24,320913;28,870001;12,829356;127,639999;4,568572;51,470001;287,432434;47,021996;5,898334;53,650837;12,87249;50,797066
1/05/2008;26,574106;35,311668;5,767967;25,25;13,17;35,339333;11,25;9,068675;24,24699;26,15;12,304536;134,529999;4,337143;50,200001;293,193207;46,864185;5,206666;53,703552;13,188114;52,29459
1/06/2008;22,83215;32,384155;5,116759;24,370001;10,49;37,851536;10,705;7,916749;21,774656;22,35;11,205698;115,459999;3,724286;44,43;263,47348;43,632404;4,803333;52,929504;12,420712;53,778496
1/07/2008;20,681686;40,390793;4,857316;26,75;10,01;50,268047;10,965;8,962288;23,359907;25,540001;10,320065;114,949997;4,412857;43,18;237,112106;45,961597;3,81;47,299992;12,560349;46,999401
1/08/2008;23,499798;38,42746;5,180626;28,15;13,04;50,444633;11,0025;9,525412;25,298353;29,120001;10,221661;92,980003;4,405715;48,810001;231,876877;47,287437;4,58;50,605247;12,842112;45,409229
1/09/2008;19,610336;31,456419;3,473309;27,4;10,83;47,571255;9,5;9,108275;23,581675;26,77;9,176126;68,43;4,411428;36,990002;200,460464;49,213997;5,041667;49,119484;12,516516;37,688866
1/10/2008;20,006271;28,008442;3,287817;17,594999;6,93;48,068871;8,725;7,424565;19,466589;27,110001;6,260921;52,630001;3,537143;22,780001;179,859863;39,609409;4,22;43,128021;11,033774;32,645233
1/11/2008;20,697218;24,575098;2,831881;15,455;7;44,57748;6,6675;7,101836;19,729427;26,07;5,383492;69;3,282857;19,059999;146,626633;39,394032;4,958333;38,937;11,914194;33,830906
1/12/2008;18,298326;26,229553;2,60819;18,040001;8,75;46,351273;6,7975;6,426877;19,080542;30,74;5,723803;73,650002;4,27;16,040001;153,978973;38,053101;5,588333;39,838127;11,749513;33,807945
1/01/2009;16,334188;25,41378;2,754261;16,4;7,88;44,023674;6,0225;6,354212;18,686281;29,07;4,928374;67,089996;5,162857;15,44;169,434433;35,173355;5,583333;34,169739;11,84883;32,962883
1/02/2009;15,977073;24,589951;2,729203;15,05;6,85;39,272167;6,755;5,599441;16,665701;33,360001;4,456859;84,860001;5,177143;16,309999;169,164169;33,709816;5,546667;32,12849;11,386684;28,707253
1/03/2009;17,57633;28,754246;3,212337;17,290001;7,93;39,745705;7,415;6,035505;20,732716;35,009998;5,149782;78,779999;6,131429;18,190001;174,204208;36,048645;6;35,276993;11,957941;27,855862
1/04/2009;22,14897;31,274218;3,845209;19,65;12,41;38,902962;7,8475;7,201307;21,521093;38,849998;6,752939;97,089996;6,472857;20,35;198,183182;35,152447;6,793334;37,013409;11,988002;28,309994
1/05/2009;24,384829;32,212734;4,150186;21;11,83;40,082813;7,6725;6,236376;19,533373;36,049999;7,224456;110,110001;5,631429;22,99;208,823822;36,770206;6,113333;36,95248;11,149359;29,463749
1/06/2009;24,757469;33,534206;4,352484;23,1;10,6;42,490688;8,6675;6,226989;19,155951;38,080002;7,023549;111,550003;5,905715;21,719999;211,006012;38,825939;5,143333;35,000023;11,96849;31,753447
1/07/2009;27,637693;34,283531;4,992996;24,91;10,91;50,011215;8,8275;6,677541;21,118521;40,66;8,71281;129,619995;6,277143;21,469999;221,74675;40,418968;5,168334;37,84404;13,139847;31,536432
1/08/2009;27,684275;34,439327;5,14029;25,379999;13,4;47,980595;8,835;6,795812;23,013985;38,279999;9,077722;153,979996;6,232857;18,219999;231,066071;40,361977;5,443333;38,975559;13,014644;31,015568
1/09/2009;30,455807;33,492161;5,664066;25;14,22;48,34177;8,3025;7,337182;25,421061;36,139999;9,676343;165,820007;6,595714;19,049999;248,173172;41,779308;6,123333;43,263176;12,678569;31,091352
1/10/2009;28,538244;30,774357;5,760328;25,559999;15,72;43,036446;8,0425;6,540901;23,223663;37,279999;9,131022;157,789993;7,635714;18,24;268,328339;43,473206;6,025;43,623829;12,581985;29,424625
1/11/2009;29,64065;33,50705;6,109001;25,025;16,360001;45,227604;8,105;7,030044;23,559139;38,779999;10,033054;214,119995;8,375714;16,889999;291,791779;44,672222;5,828333;46,112396;13,55599;30,189054
1/12/2009;32,30349;34,575569;6,439648;26,725;17,82;45,404182;9,155;7,894578;21,864962;38,119999;9,647641;218,410004;7,87;17,75;310,300293;43,65271;6,4;45,542816;14,156401;30,963484
1/01/2010;32,256916;29,291328;5,869116;26,245001;18,75;46,937176;8,44;7,864247;21,059809;37,799999;9,438535;195,350006;8,892858;16,280001;265,235229;43,109234;6,408333;44,203556;14,020658;28,904329
1/02/2010;33,390373;27,415304;6,252933;26,4;18,1;45,436283;8,92;8,412164;20,791424;39,299999;9,438535;226,710007;9,435715;16,58;263,663666;45,169968;6,93;46,928288;14,040894;27,434404
1/03/2010;36,852844;31,500612;7,181309;28,775;19,34;48,028751;8,9;9,185262;24,032104;41,709999;11,058092;255;10,534286;18,66;283,843842;47,838097;7,23;46,099674;14,304039;28,090435
1/04/2010;36,51125;29,038223;7,978589;33,07;17;45,998127;8,9225;10,467635;23,313707;48,869999;9,750145;262,049988;14,128572;19,370001;263,113098;47,493397;7,358333;45,613274;14,844281;27,949377
1/05/2010;33,856174;26,695953;7,849935;31,620001;14,92;41,559635;8,975;9,654192;22,236111;51,02;8,77841;191,160004;15,878572;16,51;243,05806;45,796669;6,508333;44,972454;13,984344;24,749846
1/06/2010;32,784828;24,786217;7,686444;30,450001;14,87;42,217773;8,9525;9,606339;20,499979;47,560001;8,040385;176,539993;15,521428;14,4;222,697693;44,383961;6,518333;42,477459;14,066239;24,649099
1/07/2010;42,714207;28,741146;7,861242;29,370001;17,35;43,766842;9,11;9,393886;22,629519;49,279999;8,573404;224,399994;14,65;15,93;242,667664;47,631943;6,981667;43,933903;15,186879;27,154909
1/08/2010;44,981117;28,907188;7,428838;27,635;15,99;40,965706;8,2625;8,664658;21,79994;47,27;9,524637;291,480011;17,931429;15,23;225,235229;47,09626;7,506667;43,771206;15,407877;26,434322
1/09/2010;52,977417;34,233166;8,67105;30,860001;19,58;44,232357;8,2425;10,266901;23,56172;53,200001;10,004354;348,339996;23,165714;16,450001;263,158173;48,7547;7,77;50,142933;15,863696;27,99177
1/10/2010;49,786659;34,255913;9,197577;29,98;17,02;45,901806;8,465;9,936831;23,493303;58,5;12,243032;376,809998;24,795713;15,83;307,157166;48,635998;8,535;48,805573;16,660509;26,834757
1/11/2010;51,572243;35,515102;9,508361;32,105;17,49;42,290024;8,87;10,330599;22,877535;60,18;11,947824;394,049988;29,414286;14,91;278,133148;48,136982;8,87;52,738609;16,409134;25,881531
1/12/2010;53,109394;37,689732;9,857034;34,610001;19,540001;44,063816;9,3375;11,65733;24,336746;60,419998;11,410705;399,549988;25,1;16,379999;297,282288;48,658352;8,713333;56,326801;16,444046;27,724119
1/01/2011;49,049137;41,223392;10,369199;35,849998;20,83;44,208275;9,8125;11,297355;24,423786;56,830002;12,448042;428,519989;30,582857;15,59;300,480469;48,25705;9,44;56,038189;16,635147;28,303381
