"","CTXS","QCOM","AAPL","IDXX","ALGN","AMGN","CPRT","FAST","CTAS","ORLY","EBAY","BKNG","NFLX","EA","GOOGL","PEP","MNST","COST","XEL","EXC"
"1",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"2",0.004,0.004,0.012,0.024,0,0.02,0.748,0,0,0.006,0.002,0.014,0.042,0.056,0,0.012,0,0.052,0,0.004
"3",0,0,0.432,0,0.004,0,0,0,0,0,0.198,0,0.034,0.286,0,0,0,0.012,0.012,0.022
"4",0.5,0.074,0.028,0.006,0,0,0,0.146,0,0.064,0,0.012,0.022,0.102,0.006,0.04,0,0,0,0
"5",0.04,0.004,0.212,0.002,0.008,0.004,0.024,0.008,0.086,0.122,0.006,0.09,0,0.058,0.18,0.03,0.004,0.102,0.02,0
"6",0.058,0.156,0.014,0,0.024,0,0.006,0,0,0,0,0.008,0,0.004,0,0,0.656,0,0,0.074
"7",0,0.004,0,0.012,0.068,0.014,0,0.022,0,0.002,0.182,0.056,0.016,0.03,0.162,0.04,0.014,0,0.078,0.3
"8",0,0.002,0.034,0.174,0.038,0.02,0.012,0.002,0,0,0.002,0.004,0.014,0,0.072,0.04,0.522,0.03,0.016,0.018
"9",0.28,0.008,0.22,0.002,0.04,0.124,0.022,0,0,0.002,0.01,0,0,0,0.002,0,0,0.27,0.014,0.006
"10",0,0,0.168,0.118,0.038,0.092,0.288,0,0.014,0,0.002,0.124,0.016,0,0.004,0,0.01,0.124,0.002,0
"11",0.012,0.098,0.78,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.012,0,0.068
"12",0.008,0,0,0.012,0,0.058,0.018,0,0.002,0.016,0,0,0,0,0.004,0.112,0.632,0.01,0,0.128
"13",0.002,0.342,0.002,0.008,0,0.016,0,0,0,0.01,0.27,0.102,0.024,0,0,0.038,0.16,0.02,0.002,0.004
"14",0.01,0.002,0,0.004,0.038,0.042,0.004,0,0.042,0.024,0.01,0.006,0.544,0.176,0.076,0.004,0,0.012,0,0.006
"15",0.002,0.064,0.004,0.028,0.024,0.006,0.026,0,0.052,0.068,0.01,0.052,0.52,0.008,0.006,0.002,0.052,0.066,0.01,0
"16",0.004,0,0,0.002,0,0,0.012,0,0,0,0.134,0.056,0.004,0,0.254,0,0.514,0,0,0.02
"17",0,0,0,0.168,0.002,0.202,0.032,0,0.016,0,0.14,0,0.064,0,0,0.17,0,0,0,0.206
"18",0.026,0,0.006,0.038,0.09,0.016,0.01,0,0,0,0,0,0,0.002,0.584,0.012,0,0.194,0.006,0.016
"19",0,0,0.014,0.134,0,0.04,0.028,0.032,0.348,0.008,0,0.036,0.086,0.024,0.006,0,0,0.128,0.01,0.106
"20",0.188,0.014,0.004,0.016,0.01,0.002,0,0.03,0.096,0.028,0.062,0,0.028,0.086,0.02,0.048,0.062,0.002,0,0.304
"21",0.008,0.006,0.004,0,0.13,0.016,0.574,0.012,0.018,0.02,0.02,0.01,0.012,0.042,0.05,0.002,0.008,0.002,0,0.066
"22",0.026,0,0.02,0.024,0.002,0.296,0.046,0.05,0.104,0.008,0.02,0,0,0.042,0.062,0.102,0.002,0.192,0.004,0
"23",0.07,0.068,0,0.014,0,0.038,0,0.074,0.038,0.022,0.034,0.01,0.112,0.024,0.012,0,0.014,0.174,0.106,0.19
"24",0.166,0.016,0.016,0.082,0.004,0.036,0.008,0.052,0.072,0.06,0,0.048,0.05,0,0.048,0.08,0.126,0.054,0.056,0.026
"25",0.012,0.05,0.042,0.01,0.074,0.018,0.018,0.05,0,0.028,0.096,0.164,0.002,0.254,0.028,0.05,0.072,0.018,0.008,0.006
"26",0.018,0,0,0.086,0,0.608,0.002,0,0.01,0,0,0.07,0,0.178,0.006,0.006,0.014,0,0,0.002
"27",0.006,0.022,0.002,0,0,0.016,0.11,0,0.12,0,0,0.002,0.334,0.046,0.018,0.012,0.044,0.152,0.016,0.1
"28",0,0.038,0.012,0.002,0.076,0.416,0,0.14,0,0,0,0.062,0,0.1,0.016,0.038,0.004,0.018,0.078,0
"29",0.096,0.04,0.002,0,0.392,0.038,0,0.038,0,0.066,0.006,0,0.046,0.006,0.074,0.012,0.156,0.004,0.01,0.014
"30",0.002,0.386,0,0.002,0,0.008,0.004,0,0.104,0.334,0,0,0.006,0.03,0,0,0.046,0.06,0,0.018
"31",0.624,0,0.004,0.006,0.014,0.024,0.166,0.008,0.002,0,0.002,0.022,0.068,0.016,0.016,0.004,0.004,0,0.018,0.002
"32",0,0.048,0,0.024,0,0.058,0.618,0.004,0,0,0.004,0.006,0.024,0.048,0,0.076,0,0.074,0,0.016
